sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor
179.78.202.189,16.208.98.219,80,9708,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
10.38.98.245,16.208.98.219,80,31813,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,10.38.98.245,31813,80,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
190.68.43.226,16.208.98.219,80,17544,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
6.78.155.231,16.208.98.219,53,59524,17,1,110,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
248.189.201.3,16.208.98.219,53,32361,17,1,107,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
87.152.109.32,16.208.98.173,52640,443,6,1,242,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,146.195.89.153,14299,80,6,5,1301,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
146.195.89.153,16.208.98.219,80,14299,6,3,467,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,121.179.23.25,25104,443,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
179.103.72.122,16.208.98.78,19807,443,6,3,198,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,10.168.25.182,64193,80,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
165.75.214.150,16.208.98.219,80,34731,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,165.75.214.150,34731,80,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,140.73.2.98,30177,80,6,11,666,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,65.250.178.58,23132,53,17,1,90,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.79.17,63629,53,17,1,91,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.79.17,47189,53,17,1,87,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,65.250.178.51,51836,53,17,1,90,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.79.17,16917,53,17,1,87,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.134.24.172,16.208.98.219,443,38251,6,2,279,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,19.134.24.172,38251,443,6,2,604,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
65.250.178.51,16.208.98.219,53,51836,17,1,111,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.79.17,16.208.98.219,53,47189,17,1,240,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
156.71.46.220,16.208.98.78,53460,443,6,7,1959,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.79.17,27554,53,17,1,87,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,239.4.22.238,31799,80,6,5,4051,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.85,61.77.34.42,25,51197,6,5,558,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.78,156.71.46.220,443,53460,6,2,144,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
10.168.25.182,16.208.98.219,80,64193,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.79.17,16.208.98.219,53,27554,17,1,240,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,244.20.29.96,22949,53,17,1,96,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.79.17,16.208.98.219,53,63629,17,1,261,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.79.17,16.208.98.219,53,16917,17,1,240,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
65.250.178.58,16.208.98.219,53,23132,17,1,111,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
61.77.34.42,16.208.98.85,51197,25,6,9,6485,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,113.20.235.253,3783,53,17,1,89,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
140.73.2.98,16.208.98.219,80,30177,6,11,10367,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
239.4.22.238,16.208.98.219,80,31799,6,3,1641,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
113.20.235.253,16.208.98.219,53,3783,17,1,110,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.164.160,48489,53,17,1,121,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,133.123.192.69,31372,53,17,1,98,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,84.87.155.35,36960,80,6,4,1759,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
